Model,wMAPE (%),Mean ROI (%),Median ROI (%),Std ROI (%),VaR 5% (%),CVaR 5% (%),Prob Positive (%),Mean Properties Bought,Hit Rate (%),Sharpe
oof_round3_distress,21.657829718008788,21.014290430972846,18.812782056585597,19.56403290914045,-6.495236707502504,-12.165666044339305,87.75,16.249,66.28221545078993,1.0741287611080854
oof_round2_segments,21.772714791056167,20.883774278694574,17.71831812342606,19.900232346455464,-6.128272095427912,-12.4682256656455,88.55,15.9005,66.90584157477159,1.0494236406447934
