Model,wMAPE (%),Mean ROI (%),Median ROI (%),Std ROI (%),VaR 5% (%),CVaR 5% (%),Prob Positive (%),Mean Properties Bought,Hit Rate (%),Sharpe
Conservadores. Modelo doble.,21.807589363015754,44.46883008129317,42.68446659328933,21.64748467976695,12.516456071059675,5.738082135141963,99.225,18.86425,79.78055412812016,2.0542261948269873
oof_round3_distress,21.657829718008788,10.935233544054569,10.099986245843583,14.065423869003276,-10.167784478007809,-16.18411479579337,80.525,14.76675,62.370450997183546,0.777454959473573
