Team,Mean ROI (%),ROI Rank,Median ROI (%),Std ROI (%),VaR 5% (%),CVaR 5% (%),Prob Positive (%),Mean Properties Bought,Hit Rate (%),Sharpe,Type
Aragorn,32.64861217596184,1,35.777682436096015,22.371278288168313,-1,-1.3207109609085224,84.65,9.979,87.47376789680507,1.4593985983013311,human
Gimli,11.619968029244468,2,11.015640987750832,10.670256237125557,-4.011386302054391,-9.435711789540942,87.825,9.0835,68.27154273739762,1.0890055281722788,human
Frodo,6.4925644441525625,3,6.284539380055201,8.744241530262165,-7.838765229117332,-11.143363246586766,77.825,10.5815,58.52414186711981,0.7424960097091354,human
Sam,5.710613874274235,4,5.820408695400006,9.370103088711515,-10.385143987611002,-14.841847296814176,74.47500000000001,11.937,60.00906132438254,0.6094504852517586,human
Merry,3.8649223843312144,5,3.574586109959187,9.04857290545551,-10.771202992862891,-14.336587830182248,66.27499999999999,10.9175,57.12755404725992,0.42713060111401646,human
Pippin,3.28867077330731,6,3.282395624310701,9.830889000222378,-13.077529108630348,-17.805178240761975,65.075,11.383,53.14118788042453,0.3345242503737881,human
Legolas,-1.245722439701255,7,-0.3906918518306451,11.454669335018565,-21.145769183905642,-26.492234917900014,48.525,11.64375,54.35588860485918,-0.10875237017038135,human
